postnr,fylke,rhf,hf,pasientreisekontor
0001,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0010,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0014,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0015,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0016,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0017,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0018,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0020,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0021,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0022,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0023,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0024,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0025,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0026,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0027,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0028,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0030,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0031,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0032,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0033,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0034,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0037,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0040,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0041,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0042,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0043,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0045,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0046,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0047,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0048,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0050,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0051,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0055,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0060,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0080,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0081,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0101,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0102,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0103,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0104,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0105,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0106,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0107,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0109,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0110,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0111,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0112,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0113,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0114,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0115,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0116,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0117,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0118,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0119,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0120,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0121,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0122,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0123,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0124,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0125,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0126,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0127,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0128,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0129,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0130,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0131,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0133,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0134,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0135,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0136,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0137,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0138,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0139,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0150,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0151,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0152,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0153,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0154,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0155,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0157,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0158,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0159,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0160,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0161,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0162,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0164,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0165,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0166,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0167,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0168,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0169,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0170,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0171,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0172,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0173,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0174,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0175,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0176,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0177,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0178,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0179,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0180,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0181,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0182,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0183,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0184,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0185,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0186,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0187,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0188,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0190,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0191,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0192,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0193,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0194,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0195,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0196,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0198,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0201,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0202,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0203,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0204,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0207,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0208,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0211,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0212,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0213,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0214,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0215,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0216,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0218,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0230,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0240,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0242,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0244,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0245,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0246,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0247,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0250,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0251,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0252,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0253,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0254,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0255,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0256,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0257,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0258,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0259,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0260,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0262,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0263,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0264,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0265,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0266,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0267,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0268,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0270,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0271,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0272,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0273,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0274,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0275,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0276,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0277,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0278,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0279,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0280,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0281,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0282,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0283,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0284,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0286,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0287,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0301,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0302,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0303,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0304,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0305,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0306,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0307,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0308,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0309,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0310,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0311,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0313,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0314,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0315,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0316,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0317,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0318,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0319,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0320,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0323,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0330,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0340,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0341,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0342,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0349,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0350,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0351,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0352,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0353,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0354,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0355,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0356,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0357,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0358,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0359,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
